epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,3994.63,0.68834,1.13455,0.74196,0.97497,0.5979,0.83092,0.69325,0.59006,0.59999,0.83353,0.69605,0.56729,0.61219,1.01397,0.7081,0.92551,0.000190513,0.000190513,0.000190513
51,4074.11,0.67933,1.11562,0.71654,0.97319,0.61924,0.83539,0.69627,0.59152,0.6226,0.83684,0.69802,0.56767,0.60992,1.02623,0.66223,0.93243,0.00018685,0.00018685,0.00018685
52,4154.1,0.68312,1.1252,0.7096,0.97297,0.61659,0.82578,0.69967,0.5948,0.62139,0.82654,0.70534,0.57033,0.60128,1.00741,0.66892,0.92434,0.000183187,0.000183187,0.000183187
53,4234.3,0.67349,1.11195,0.71547,0.96827,0.62469,0.83306,0.70329,0.59976,0.6323,0.83402,0.70879,0.57317,0.60014,0.99954,0.64284,0.92302,0.000179524,0.000179524,0.000179524
54,4313.85,0.67532,1.10054,0.70307,0.97067,0.6166,0.84853,0.70199,0.60022,0.62088,0.84982,0.70601,0.576,0.60165,0.99779,0.64489,0.92181,0.000175861,0.000175861,0.000175861
55,4393.81,0.67127,1.09476,0.69928,0.96871,0.61379,0.84395,0.70466,0.60188,0.62071,0.83346,0.70802,0.57699,0.60094,1.0036,0.65094,0.92302,0.000172198,0.000172198,0.000172198
56,4473.57,0.66855,1.10126,0.69259,0.96814,0.61178,0.83802,0.69776,0.59413,0.62182,0.82295,0.69929,0.56799,0.59677,1.00414,0.66201,0.92229,0.000168535,0.000168535,0.000168535
57,4553.4,0.66788,1.09791,0.69453,0.96563,0.62966,0.8345,0.69386,0.59715,0.63329,0.83757,0.69689,0.57246,0.59529,1.00604,0.65265,0.92362,0.000164872,0.000164872,0.000164872
58,4633.07,0.66324,1.09502,0.6885,0.96532,0.62158,0.84636,0.69942,0.59812,0.62576,0.84939,0.7021,0.57427,0.59957,0.99667,0.63761,0.92404,0.000161209,0.000161209,0.000161209
59,4712.58,0.66142,1.08486,0.68689,0.96291,0.61939,0.82702,0.69531,0.59649,0.62442,0.82013,0.69967,0.57308,0.58838,0.99963,0.65573,0.91868,0.000157546,0.000157546,0.000157546
60,4792.25,0.66176,1.08449,0.69123,0.96353,0.6213,0.83988,0.69819,0.59854,0.62556,0.83984,0.70201,0.57709,0.6002,0.9942,0.64685,0.92146,0.000153883,0.000153883,0.000153883
61,4872.68,0.65995,1.07408,0.67507,0.96121,0.60828,0.84486,0.68377,0.58658,0.61219,0.84688,0.68829,0.56454,0.59207,1.00264,0.6793,0.91933,0.00015022,0.00015022,0.00015022
62,4952.31,0.65399,1.06475,0.67356,0.95825,0.62929,0.83005,0.70691,0.60376,0.63442,0.82969,0.71044,0.58146,0.59711,1.00588,0.64627,0.92367,0.000146557,0.000146557,0.000146557
63,5032.16,0.65326,1.07281,0.67171,0.95873,0.61597,0.83632,0.71138,0.61069,0.61974,0.83565,0.71538,0.58509,0.58788,0.98696,0.64405,0.91958,0.000142894,0.000142894,0.000142894
64,5112.47,0.66134,1.078,0.67738,0.96232,0.61398,0.8258,0.70216,0.60111,0.61798,0.82822,0.70536,0.57569,0.59314,0.99703,0.66223,0.91965,0.000139231,0.000139231,0.000139231
65,5192.48,0.65025,1.06738,0.67044,0.95828,0.61813,0.84046,0.7011,0.59874,0.62511,0.84118,0.70537,0.57928,0.59601,0.99026,0.64157,0.92177,0.000135568,0.000135568,0.000135568
66,5271.99,0.64291,1.06093,0.65768,0.95342,0.61756,0.82837,0.69129,0.59157,0.61923,0.82873,0.69475,0.56748,0.59261,0.99043,0.67347,0.91884,0.000131905,0.000131905,0.000131905
67,5351.61,0.63915,1.05249,0.64843,0.95158,0.61152,0.83396,0.68323,0.58764,0.61867,0.83189,0.68794,0.56404,0.58804,0.99195,0.66272,0.91393,0.000128242,0.000128242,0.000128242
68,5431.5,0.64354,1.05332,0.65174,0.95524,0.60015,0.8569,0.68664,0.58596,0.60705,0.84084,0.69072,0.56377,0.58804,0.98465,0.65963,0.91708,0.000124579,0.000124579,0.000124579
69,5511.44,0.63332,1.03898,0.64288,0.95399,0.62018,0.84504,0.69864,0.59984,0.62506,0.84222,0.70109,0.57887,0.58572,0.98308,0.63544,0.91456,0.000120916,0.000120916,0.000120916
70,5591.67,0.63639,1.04722,0.65266,0.95379,0.59478,0.85174,0.68556,0.58708,0.60129,0.84209,0.69053,0.56518,0.58817,0.99212,0.66805,0.91715,0.000117253,0.000117253,0.000117253
71,5671.52,0.63301,1.03745,0.63684,0.95022,0.62195,0.84312,0.69846,0.60079,0.62537,0.84557,0.70162,0.57803,0.58684,0.97764,0.63732,0.91671,0.00011359,0.00011359,0.00011359
72,5751.01,0.63556,1.04704,0.6443,0.95294,0.61842,0.85706,0.69639,0.60034,0.62397,0.85517,0.69908,0.57477,0.58214,0.98052,0.63043,0.91479,0.000109927,0.000109927,0.000109927
73,5830.6,0.62974,1.0294,0.63326,0.9484,0.63068,0.84843,0.69792,0.60133,0.63566,0.83921,0.70156,0.57527,0.58423,0.99293,0.63428,0.91673,0.000106264,0.000106264,0.000106264
74,5910.38,0.63355,1.04217,0.63456,0.94864,0.61761,0.85656,0.70118,0.60457,0.62109,0.85862,0.70511,0.58062,0.57517,0.97912,0.63342,0.9104,0.000102601,0.000102601,0.000102601
75,5990.58,0.62981,1.02343,0.6374,0.94975,0.62617,0.84862,0.69927,0.60101,0.62994,0.84902,0.70239,0.57771,0.58288,0.98912,0.63103,0.91627,9.8938e-05,9.8938e-05,9.8938e-05
76,6070.51,0.62632,1.02245,0.62362,0.94875,0.63027,0.84431,0.71171,0.61716,0.64058,0.82685,0.71696,0.58895,0.58197,0.97902,0.63027,0.91376,9.5275e-05,9.5275e-05,9.5275e-05
77,6150.24,0.62669,1.03036,0.62095,0.94839,0.63369,0.84319,0.70343,0.60578,0.6373,0.84388,0.70607,0.58429,0.57052,0.97202,0.62279,0.90695,9.1612e-05,9.1612e-05,9.1612e-05
